"group_uid","player.treatment","subsession.round_number","manager","player.price"
"bothe_1__g5","M_exp_W_exp",3,"exp",299
"bothe_2__g1","M_exp_W_exp",3,"exp",370
"bothe_2__g2","M_exp_W_exp",3,"exp",165
"bothe_2__g3","M_exp_W_exp",3,"exp",250
"bothe_2__g4","M_exp_W_exp",3,"exp",125
"bothe_2__g5","M_exp_W_exp",3,"exp",125
"bothno_1__g1","M_no_W_no",4,"exp",150
"bothno_1__g2","M_no_W_no",4,"exp",310
"bothno_1__g3","M_no_W_no",4,"exp",455
"bothno_1__g4","M_no_W_no",4,"exp",350
"bothno_1__g5","M_no_W_no",4,"exp",400
"botno_2__g1","M_no_W_no",4,"exp",300
"botno_2__g2","M_no_W_no",4,"exp",288
"botno_2__g3","M_no_W_no",4,"exp",400
"botno_2__g4","M_no_W_no",4,"exp",320
"botno_2__g5","M_no_W_no",4,"exp",300
"MnoWe_1__g1","M_no_W_exp",4,"exp",450
"MnoWe_1__g2","M_no_W_exp",4,"exp",160
"MnoWe_1__g3","M_no_W_exp",4,"exp",420
"MnoWe_1__g4","M_no_W_exp",4,"exp",400
"MnoWe_1__g5","M_no_W_exp",4,"exp",200
"MnoWe_2__g1","M_no_W_exp",4,"exp",201
"MnoWe_2__g2","M_no_W_exp",4,"exp",340
"MnoWe_2__g3","M_no_W_exp",4,"exp",450
"MnoWe_2__g4","M_no_W_exp",4,"exp",550
"MnoWe_2__g5","M_no_W_exp",4,"exp",352
"MeWno_1__g1","M_exp_W_no",4,"exp",250
"MeWno_1__g2","M_exp_W_no",4,"exp",350
"MeWno_1__g3","M_exp_W_no",4,"exp",310
"MeWno_1__g4","M_exp_W_no",4,"exp",220
"MeWno_1__g5","M_exp_W_no",4,"exp",370
"MeWno_2__g1","M_exp_W_no",4,"exp",150
"MeWno_2__g2","M_exp_W_no",4,"exp",350
"MeWno_2__g3","M_exp_W_no",4,"exp",270
"MeWno_2__g4","M_exp_W_no",4,"exp",370
"MeWno_2__g5","M_exp_W_no",4,"exp",380
"bothe_1__g1","M_exp_W_exp",4,"exp",163
"bothe_1__g2","M_exp_W_exp",4,"exp",300
"bothe_1__g3","M_exp_W_exp",4,"exp",350
"bothe_1__g4","M_exp_W_exp",4,"exp",465
"bothe_1__g5","M_exp_W_exp",4,"exp",300
"bothe_2__g1","M_exp_W_exp",4,"exp",365
"bothe_2__g2","M_exp_W_exp",4,"exp",170
"bothe_2__g3","M_exp_W_exp",4,"exp",250
"bothe_2__g4","M_exp_W_exp",4,"exp",125
"bothe_2__g5","M_exp_W_exp",4,"exp",125
"bothno_1__g1","M_no_W_no",5,"exp",125
"bothno_1__g2","M_no_W_no",5,"exp",300
"bothno_1__g3","M_no_W_no",5,"exp",480
"bothno_1__g4","M_no_W_no",5,"exp",335
"bothno_1__g5","M_no_W_no",5,"exp",400
"botno_2__g1","M_no_W_no",5,"exp",275
"botno_2__g2","M_no_W_no",5,"exp",250
"botno_2__g3","M_no_W_no",5,"exp",400
"botno_2__g4","M_no_W_no",5,"exp",350
"botno_2__g5","M_no_W_no",5,"exp",300
"MnoWe_1__g1","M_no_W_exp",5,"exp",480
"MnoWe_1__g2","M_no_W_exp",5,"exp",155
"MnoWe_1__g3","M_no_W_exp",5,"exp",420
"MnoWe_1__g4","M_no_W_exp",5,"exp",450
"MnoWe_1__g5","M_no_W_exp",5,"exp",225
"MnoWe_2__g1","M_no_W_exp",5,"exp",202
"MnoWe_2__g2","M_no_W_exp",5,"exp",365
"MnoWe_2__g3","M_no_W_exp",5,"exp",450
"MnoWe_2__g4","M_no_W_exp",5,"exp",580
"MnoWe_2__g5","M_no_W_exp",5,"exp",351
"MeWno_1__g1","M_exp_W_no",5,"exp",240
"MeWno_1__g2","M_exp_W_no",5,"exp",401
"MeWno_1__g3","M_exp_W_no",5,"exp",310
"MeWno_1__g4","M_exp_W_no",5,"exp",200
"MeWno_1__g5","M_exp_W_no",5,"exp",368
"MeWno_2__g1","M_exp_W_no",5,"exp",100
"MeWno_2__g2","M_exp_W_no",5,"exp",200
"MeWno_2__g3","M_exp_W_no",5,"exp",270
"MeWno_2__g4","M_exp_W_no",5,"exp",399
"MeWno_2__g5","M_exp_W_no",5,"exp",400
"bothe_1__g1","M_exp_W_exp",5,"exp",174
"bothe_1__g2","M_exp_W_exp",5,"exp",300
"bothe_1__g3","M_exp_W_exp",5,"exp",300
"bothe_1__g4","M_exp_W_exp",5,"exp",470
"bothe_1__g5","M_exp_W_exp",5,"exp",298
"bothe_2__g1","M_exp_W_exp",5,"exp",360
"bothe_2__g2","M_exp_W_exp",5,"exp",170
"bothe_2__g3","M_exp_W_exp",5,"exp",140
"bothe_2__g4","M_exp_W_exp",5,"exp",135
"bothe_2__g5","M_exp_W_exp",5,"exp",129
"bothno_1__g1","M_no_W_no",6,"exp",125
"bothno_1__g2","M_no_W_no",6,"exp",290
"bothno_1__g3","M_no_W_no",6,"exp",500
"bothno_1__g4","M_no_W_no",6,"exp",320
"bothno_1__g5","M_no_W_no",6,"exp",450
"botno_2__g1","M_no_W_no",6,"exp",260
"botno_2__g2","M_no_W_no",6,"exp",240
"botno_2__g3","M_no_W_no",6,"exp",400
