session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
99iosefo,19,pb6d6kev,2,portfolio,InstructionsRisk,1789366692,1,0,0
99iosefo,16,3p6ks3hb,1,portfolio,Welcome,1789366694,1,0,0
99iosefo,6,2nkc141x,2,portfolio,InstructionsRisk,1789366697,1,0,0
99iosefo,20,m8xnbw73,4,portfolio,DynamicChoice,1789366697,1,0,0
99iosefo,3,rucumqi6,4,portfolio,DynamicChoice,1789366697,1,0,0
99iosefo,4,lbzqe7lh,1,portfolio,Welcome,1789366700,1,0,0
99iosefo,21,an9ihpoe,4,portfolio,DynamicChoice,1789366701,1,0,0
99iosefo,8,a6q31ex7,1,portfolio,Welcome,1789366710,1,0,0
99iosefo,5,i42igenv,2,portfolio,InstructionsRisk,1789366712,1,0,0
99iosefo,10,bnt5i99k,3,portfolio,ComprehensionRisk,1789366712,1,0,0
99iosefo,13,s9ryf5kv,3,portfolio,ComprehensionRisk,1789366713,1,0,0
99iosefo,17,y5kgtmfb,3,portfolio,ComprehensionRisk,1789366713,1,0,0
99iosefo,2,a1q00v4p,3,portfolio,ComprehensionRisk,1789366714,1,0,0
99iosefo,16,3p6ks3hb,2,portfolio,InstructionsRisk,1789366716,1,0,0
99iosefo,14,oe31za5u,2,portfolio,InstructionsRisk,1789366717,1,0,0
99iosefo,25,0tv7bd9u,1,portfolio,Welcome,1789366718,1,0,0
99iosefo,22,rbyuqaqn,3,portfolio,ComprehensionRisk,1789366721,1,0,0
99iosefo,12,i44g0thi,2,portfolio,InstructionsRisk,1789366729,1,0,0
99iosefo,17,y5kgtmfb,4,portfolio,DynamicChoice,1789366734,1,0,0
99iosefo,24,ewpd3m8q,2,portfolio,InstructionsRisk,1789366735,1,0,0
99iosefo,1,cfn8fv6w,1,portfolio,Welcome,1789366736,1,0,0
99iosefo,10,bnt5i99k,4,portfolio,DynamicChoice,1789366738,1,0,0
99iosefo,18,ebzeqzcf,2,portfolio,InstructionsRisk,1789366742,1,0,0
99iosefo,19,pb6d6kev,3,portfolio,ComprehensionRisk,1789366743,1,0,0
99iosefo,6,2nkc141x,3,portfolio,ComprehensionRisk,1789366743,1,0,0
99iosefo,8,a6q31ex7,2,portfolio,InstructionsRisk,1789366745,1,0,0
99iosefo,7,oqud1wxk,3,portfolio,ComprehensionRisk,1789366745,1,0,0
99iosefo,22,rbyuqaqn,4,portfolio,DynamicChoice,1789366747,1,0,0
99iosefo,14,oe31za5u,3,portfolio,ComprehensionRisk,1789366748,1,0,0
99iosefo,25,0tv7bd9u,2,portfolio,InstructionsRisk,1789366752,1,0,0
99iosefo,12,i44g0thi,3,portfolio,ComprehensionRisk,1789366754,1,0,0
99iosefo,5,i42igenv,3,portfolio,ComprehensionRisk,1789366761,1,0,0
99iosefo,14,oe31za5u,4,portfolio,DynamicChoice,1789366766,1,0,0
99iosefo,1,cfn8fv6w,2,portfolio,InstructionsRisk,1789366768,1,0,0
99iosefo,13,s9ryf5kv,4,portfolio,DynamicChoice,1789366769,1,0,0
99iosefo,18,ebzeqzcf,3,portfolio,ComprehensionRisk,1789366779,1,0,0
99iosefo,6,2nkc141x,4,portfolio,DynamicChoice,1789366781,1,0,0
99iosefo,4,lbzqe7lh,2,portfolio,InstructionsRisk,1789366783,1,0,0
99iosefo,25,0tv7bd9u,3,portfolio,ComprehensionRisk,1789366784,1,0,0
99iosefo,16,3p6ks3hb,3,portfolio,ComprehensionRisk,1789366785,1,0,0
99iosefo,15,v86y9zyn,4,portfolio,DynamicChoice,1789366790,1,0,0
99iosefo,8,a6q31ex7,3,portfolio,ComprehensionRisk,1789366792,1,0,0
99iosefo,1,cfn8fv6w,3,portfolio,ComprehensionRisk,1789366812,1,0,0
99iosefo,4,lbzqe7lh,3,portfolio,ComprehensionRisk,1789366813,1,0,0
99iosefo,16,3p6ks3hb,4,portfolio,DynamicChoice,1789366817,1,0,0
99iosefo,7,oqud1wxk,4,portfolio,DynamicChoice,1789366826,1,0,0
99iosefo,18,ebzeqzcf,4,portfolio,DynamicChoice,1789366829,1,0,0
99iosefo,2,a1q00v4p,4,portfolio,DynamicChoice,1789366834,1,0,0
99iosefo,19,pb6d6kev,4,portfolio,DynamicChoice,1789366844,1,0,0
99iosefo,1,cfn8fv6w,4,portfolio,DynamicChoice,1789366852,1,0,0
99iosefo,25,0tv7bd9u,4,portfolio,DynamicChoice,1789366862,1,0,0
99iosefo,24,ewpd3m8q,3,portfolio,ComprehensionRisk,1789366863,1,0,0
99iosefo,8,a6q31ex7,4,portfolio,DynamicChoice,1789366864,1,0,0
99iosefo,24,ewpd3m8q,4,portfolio,DynamicChoice,1789366893,1,0,0
99iosefo,5,i42igenv,4,portfolio,DynamicChoice,1789366902,1,0,0
99iosefo,12,i44g0thi,4,portfolio,DynamicChoice,1789366936,1,0,0
99iosefo,4,lbzqe7lh,4,portfolio,DynamicChoice,1789367056,1,0,0
99iosefo,23,3pb269ab,5,portfolio,SyncRisk,1789367056,1,0,1
99iosefo,21,an9ihpoe,5,portfolio,SyncRisk,1789367056,1,0,1
