session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
gykh8ja7,1,1c9g6x62,0,,InitializeParticipant,1789375657,1,0,0
gykh8ja7,2,7fakiwkr,0,,InitializeParticipant,1789375657,1,0,0
gykh8ja7,3,d4zd28hb,0,,InitializeParticipant,1789375657,1,0,0
gykh8ja7,4,ja5c25rz,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,5,oedddvhv,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,6,7q18nnfd,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,7,03zce18q,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,8,wbs0fdl5,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,9,cqrngk2a,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,10,259xsu1c,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,11,xnss4pg0,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,12,5seuckqb,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,13,hdnqitby,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,14,ss3joq82,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,15,5wh6kzb3,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,16,kh2preog,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,17,ao798wr7,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,18,3788h5gm,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,19,dk85qrmf,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,20,qruijzzl,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,21,vlvkdjz0,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,22,9n1v1smg,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,23,kw7jjs2b,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,24,pop23w57,0,,InitializeParticipant,1789375658,1,0,0
gykh8ja7,25,cbc0ayyd,0,,InitializeParticipant,1789375659,1,0,0
gykh8ja7,16,kh2preog,1,portfolio,Welcome,1789375665,1,0,0
gykh8ja7,24,pop23w57,1,portfolio,Welcome,1789375665,1,0,0
gykh8ja7,12,5seuckqb,1,portfolio,Welcome,1789375665,1,0,0
gykh8ja7,20,qruijzzl,1,portfolio,Welcome,1789375666,1,0,0
gykh8ja7,13,hdnqitby,1,portfolio,Welcome,1789375666,1,0,0
gykh8ja7,17,ao798wr7,1,portfolio,Welcome,1789375666,1,0,0
gykh8ja7,8,wbs0fdl5,1,portfolio,Welcome,1789375666,1,0,0
gykh8ja7,24,pop23w57,2,portfolio,InstructionsRisk,1789375667,1,0,0
gykh8ja7,16,kh2preog,2,portfolio,InstructionsRisk,1789375668,1,0,0
gykh8ja7,18,3788h5gm,1,portfolio,Welcome,1789375669,1,0,0
gykh8ja7,17,ao798wr7,2,portfolio,InstructionsRisk,1789375670,1,0,0
gykh8ja7,23,kw7jjs2b,1,portfolio,Welcome,1789375670,1,0,0
gykh8ja7,25,cbc0ayyd,1,portfolio,Welcome,1789375671,1,0,0
gykh8ja7,20,qruijzzl,2,portfolio,InstructionsRisk,1789375671,1,0,0
gykh8ja7,4,ja5c25rz,1,portfolio,Welcome,1789375671,1,0,0
gykh8ja7,13,hdnqitby,2,portfolio,InstructionsRisk,1789375672,1,0,0
gykh8ja7,18,3788h5gm,2,portfolio,InstructionsRisk,1789375674,1,0,0
gykh8ja7,23,kw7jjs2b,2,portfolio,InstructionsRisk,1789375674,1,0,0
gykh8ja7,12,5seuckqb,2,portfolio,InstructionsRisk,1789375675,1,0,0
gykh8ja7,25,cbc0ayyd,2,portfolio,InstructionsRisk,1789375676,1,0,0
gykh8ja7,22,9n1v1smg,1,portfolio,Welcome,1789375680,1,0,0
gykh8ja7,15,5wh6kzb3,1,portfolio,Welcome,1789375680,1,0,0
gykh8ja7,22,9n1v1smg,2,portfolio,InstructionsRisk,1789375682,1,0,0
gykh8ja7,17,ao798wr7,3,portfolio,ComprehensionRisk,1789375683,1,0,0
gykh8ja7,4,ja5c25rz,2,portfolio,InstructionsRisk,1789375683,1,0,0
gykh8ja7,16,kh2preog,3,portfolio,ComprehensionRisk,1789375684,1,0,0
gykh8ja7,25,cbc0ayyd,3,portfolio,ComprehensionRisk,1789375689,1,0,0
gykh8ja7,14,ss3joq82,1,portfolio,Welcome,1789375690,1,0,0
gykh8ja7,15,5wh6kzb3,2,portfolio,InstructionsRisk,1789375695,1,0,0
gykh8ja7,13,hdnqitby,3,portfolio,ComprehensionRisk,1789375695,1,0,0
gykh8ja7,7,03zce18q,1,portfolio,Welcome,1789375696,1,0,0
gykh8ja7,1,1c9g6x62,1,portfolio,Welcome,1789375697,1,0,0
gykh8ja7,20,qruijzzl,3,portfolio,ComprehensionRisk,1789375697,1,0,0
gykh8ja7,2,7fakiwkr,1,portfolio,Welcome,1789375701,1,0,0
gykh8ja7,19,dk85qrmf,1,portfolio,Welcome,1789375703,1,0,0
gykh8ja7,23,kw7jjs2b,3,portfolio,ComprehensionRisk,1789375703,1,0,0
gykh8ja7,1,1c9g6x62,2,portfolio,InstructionsRisk,1789375706,1,0,0
gykh8ja7,17,ao798wr7,4,portfolio,DynamicChoice,1789375706,1,0,0
gykh8ja7,20,qruijzzl,4,portfolio,DynamicChoice,1789375706,1,0,0
gykh8ja7,2,7fakiwkr,2,portfolio,InstructionsRisk,1789375706,1,0,0
gykh8ja7,7,03zce18q,2,portfolio,InstructionsRisk,1789375706,1,0,0
gykh8ja7,18,3788h5gm,3,portfolio,ComprehensionRisk,1789375706,1,0,0
