participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,u4sl54xk,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:41.791289,1,,,500.0,1,,50.0,1,50.0,14,80.0,50.0,347.0,0.0,527.0,11.0,1,1,9l3zlzfa,,,,,0
2,q2jobopa,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:41.867553,1,,,222.22,2,,100.0,1,100.0,19,75.0,50.0,-102.0,150.0,273.0,6.0,1,1,9l3zlzfa,,,,,0
3,9xg7erl3,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.002021,1,,,611.11,3,,10.0,0,10.0,15,45.0,50.0,303.0,225.0,633.0,13.0,1,1,9l3zlzfa,,,,,0
4,ixl976y0,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.268005,1,,,722.22,4,,40.0,0,40.0,8,70.0,50.0,507.0,63.75,730.75,15.0,1,1,9l3zlzfa,,,,,0
5,nqlqeq8n,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.844534,1,,,333.33,5,,40.0,0,40.0,6,75.0,50.0,-55.0,225.0,335.0,8.0,1,1,9l3zlzfa,,,,,0
6,d10dwe1h,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.881995,1,,,888.89,6,,60.0,1,60.0,5,75.0,120.0,450.0,225.0,930.0,18.0,1,1,9l3zlzfa,,,,,0
7,0yq0zebw,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.904428,1,,,833.33,7,,100.0,1,100.0,12,75.0,131.25,575.0,0.0,881.25,17.0,1,1,9l3zlzfa,,,,,0
8,7sfhy51b,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.911674,1,,,222.22,8,,60.0,1,60.0,4,80.0,118.5,-100.0,93.75,252.25,6.0,1,1,9l3zlzfa,,,,,0
9,pgjj4tqg,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.950755,1,,,611.11,9,,0.0,0,0.0,18,55.5,135.0,450.0,0.0,640.5,13.0,1,1,9l3zlzfa,,,,,0
10,z4s8evj8,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:42.968291,1,,,1055.56,10,,50.0,0,50.0,22,50.0,126.00000000000001,875.0,0.0,1101.0,21.0,1,1,9l3zlzfa,,,,,0
11,e8h7gvii,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.019580,1,,,722.22,11,,15.0,0,15.0,21,60.0,75.0,625.0,0.0,775.0,15.0,1,1,9l3zlzfa,,,,,0
12,yt1cbpza,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.042844,1,,,1277.78,12,,0.0,0,0.0,7,72.5,75.0,1150.0,0.0,1297.5,25.0,1,1,9l3zlzfa,,,,,0
13,0i38ht6y,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.050304,1,,,444.44,13,,50.0,0,50.0,23,85.0,75.0,250.0,0.0,460.0,10.0,1,1,9l3zlzfa,,,,,0
14,xyqf41ao,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.059770,1,,,55.56,14,,50.0,0,50.0,1,65.0,75.0,-125.0,0.0,65.0,3.0,1,1,9l3zlzfa,,,,,0
15,g9pquzkd,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.154158,1,,,0.0,15,,90.0,1,90.0,3,85.0,75.0,-400.0,0.0,-150.0,2.0,1,1,9l3zlzfa,,,,,0
