participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.is_dictator,player.dictator_payoff,player.partner_id_in_group,player.task1_points,player.allocation_points,player.market_points,player.belief_points,player.total_combined_payoff,player.payment_sgd,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
16,7ww48hi4,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.242303,1,,,0.0,16,,0.0,0,0.0,7,75.0,50.0,-584.0,0.0,-459.0,2.0,1,1,9l3zlzfa,,,,,0
17,5fdw0rg1,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.252356,1,,,0.0,17,,0.0,0,0.0,20,95.0,50.0,-300.0,150.0,-5.0,2.0,1,1,9l3zlzfa,,,,,0
18,h7o9v437,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.348539,1,,,0.0,18,,100.0,1,100.0,9,75.0,50.0,-184.0,0.0,41.0,2.0,1,1,9l3zlzfa,,,,,0
19,9mimenbo,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.388352,1,,,833.33,19,,0.0,0,0.0,2,45.0,50.0,784.0,0.0,879.0,17.0,1,1,9l3zlzfa,,,,,0
20,hn8non3y,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.459728,1,,,1666.67,20,,100.0,1,100.0,17,50.0,50.0,1284.0,225.0,1709.0,32.0,1,1,9l3zlzfa,,,,,0
21,x06ipo6j,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.651142,1,,,500.0,21,,85.0,1,85.0,11,57.5,128.0,247.0,0.0,517.5,11.0,1,1,9l3zlzfa,,,,,0
22,n9iynxtq,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.760292,1,,,944.44,22,,50.0,1,50.0,10,0.0,140.0,541.0,225.0,956.0,19.0,1,1,9l3zlzfa,,,,,0
23,diqkyqqr,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:43.834949,1,,,1277.78,23,,50.0,1,50.0,13,75.0,140.0,829.0,225.0,1319.0,25.0,1,1,9l3zlzfa,,,,,0
24,hi0vl1bf,,0,587,587,FinalPage,ThankYou,2026-09-15 02:15:44.110312,1,,,222.22,24,,100.0,1,100.0,25,0.0,132.0,14.0,0.0,246.0,6.0,1,1,9l3zlzfa,,,,,0
25,u3a33dgt,,0,587,587,FinalPage,ThankYou,2026-09-15 02:16:14.753308,1,,,1277.78,25,,0.0,0,0.0,24,50.0,100.0,1169.0,0.0,1319.0,25.0,1,1,9l3zlzfa,,,,,0
