session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
ckhtfa5u,1,msd1f2iu,0,,InitializeParticipant,1789542885,1,0,0
ckhtfa5u,2,omrf04k4,0,,InitializeParticipant,1789542885,1,0,0
ckhtfa5u,3,duzxv1is,0,,InitializeParticipant,1789542885,1,0,0
ckhtfa5u,4,znk2pevv,0,,InitializeParticipant,1789542885,1,0,0
ckhtfa5u,5,rv5b38em,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,6,z7t2lpyk,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,7,dwx0my9x,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,8,uhxz6pjz,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,10,yhliw46v,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,9,r39x605k,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,11,7abl389c,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,12,6kns3oml,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,13,pp2e4xx5,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,14,jid9ui4f,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,15,grwzfvbr,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,16,yxcpp681,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,17,09bse981,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,20,6rdutaoz,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,21,21anldsa,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,18,2p0bevly,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,19,raavz353,0,,InitializeParticipant,1789542886,1,0,0
ckhtfa5u,22,3mjtjuou,0,,InitializeParticipant,1789542887,1,0,0
ckhtfa5u,23,5jtwpe9d,0,,InitializeParticipant,1789542887,1,0,0
ckhtfa5u,24,s16bmsk2,0,,InitializeParticipant,1789542887,1,0,0
ckhtfa5u,25,sjw641j3,0,,InitializeParticipant,1789542889,1,0,0
ckhtfa5u,8,uhxz6pjz,1,portfolio,Welcome,1789542891,1,0,0
ckhtfa5u,14,jid9ui4f,1,portfolio,Welcome,1789542892,1,0,0
ckhtfa5u,6,z7t2lpyk,1,portfolio,Welcome,1789542894,1,0,0
ckhtfa5u,5,rv5b38em,1,portfolio,Welcome,1789542894,1,0,0
ckhtfa5u,14,jid9ui4f,2,portfolio,InstructionsRisk,1789542895,1,0,0
ckhtfa5u,12,6kns3oml,1,portfolio,Welcome,1789542896,1,0,0
ckhtfa5u,5,rv5b38em,2,portfolio,InstructionsRisk,1789542897,1,0,0
ckhtfa5u,16,yxcpp681,1,portfolio,Welcome,1789542904,1,0,0
ckhtfa5u,2,omrf04k4,1,portfolio,Welcome,1789542906,1,0,0
ckhtfa5u,16,yxcpp681,2,portfolio,InstructionsRisk,1789542908,1,0,0
ckhtfa5u,1,msd1f2iu,1,portfolio,Welcome,1789542908,1,0,0
ckhtfa5u,15,grwzfvbr,1,portfolio,Welcome,1789542913,1,0,0
ckhtfa5u,8,uhxz6pjz,2,portfolio,InstructionsRisk,1789542914,1,0,0
ckhtfa5u,9,r39x605k,1,portfolio,Welcome,1789542916,1,0,0
ckhtfa5u,20,6rdutaoz,1,portfolio,Welcome,1789542916,1,0,0
ckhtfa5u,17,09bse981,1,portfolio,Welcome,1789542918,1,0,0
ckhtfa5u,21,21anldsa,1,portfolio,Welcome,1789542919,1,0,0
ckhtfa5u,14,jid9ui4f,3,portfolio,ComprehensionRisk,1789542922,1,0,0
ckhtfa5u,7,dwx0my9x,1,portfolio,Welcome,1789542923,1,0,0
ckhtfa5u,20,6rdutaoz,2,portfolio,InstructionsRisk,1789542924,1,0,0
ckhtfa5u,1,msd1f2iu,2,portfolio,InstructionsRisk,1789542926,1,0,0
ckhtfa5u,6,z7t2lpyk,2,portfolio,InstructionsRisk,1789542926,1,0,0
ckhtfa5u,7,dwx0my9x,2,portfolio,InstructionsRisk,1789542929,1,0,0
ckhtfa5u,4,znk2pevv,1,portfolio,Welcome,1789542929,1,0,0
ckhtfa5u,23,5jtwpe9d,1,portfolio,Welcome,1789542931,1,0,0
